latitude,longitude,scan,track,confidence,frp,daynight,Class,source
58.38533,-119.93111,0.61,0.71,66,5.87,0,1,0
58.011,-119.7003,2.4,1.5,100,228.5,0,1,1
56.0206,-109.2479,4.1,1.9,92,332.9,1,1,1
59.75431,-115.24946,0.49,0.4,100,58.4,0,0,0
53.0059,-95.084,1.9,1.4,50,20.5,1,0,1
58.3912,-121.65678,0.38,0.36,66,2.31,0,1,0
58.5002,-118.533,2.3,1.5,80,32.8,0,0,1
59.3142,-123.2715,1.0,1.0,92,48.1,1,1,1
59.3142,-121.47488,0.5,0.49,66,6.5,0,0,0
59.31752,-121.9415,0.39,0.36,66,1.35,0,1,0
61.02441,-112.31711,0.49,0.4,66,31.23,1,1,0
55.9464,-103.7229,1.5,1.2,0,330.0,1,1,1
59.5558,-112.7767,1.8,1.3,61,12.3,1,1,1
58.5995,-118.3396,2.2,1.4,81,44.6,0,1,1
59.49677,-114.09194,0.45,0.39,66,2.44,0,0,0
56.88226,-119.66486,0.61,0.53,66,5.18,0,0,0
60.57544,-119.56606,0.47,0.48,66,7.61,1,0,0
55.9291,-104.4409,1.1,1.0,100,29.4,0,1,1
58.8553,-120.4494,2.0,1.4,100,79.9,0,0,1
59.8532,-112.0142,1.9,1.3,95,131.4,1,1,1
58.5295,-118.0795,1.9,1.4,100,605.8,0,1,1
58.69378,-118.11108,0.38,0.43,66,9.74,0,0,0
54.7679,-123.9124,1.3,1.1,100,103.7,0,1,1
58.77224,-120.84219,0.55,0.68,66,4.3,0,1,0
58.9968,-120.1496,1.0,1.0,79,18.1,1,1,1
57.52895,-120.40588,0.44,0.46,66,3.78,0,0,0
61.05599,-112.12405,0.34,0.56,66,3.68,0,1,0
54.5829,-123.5159,1.3,1.1,100,196.0,0,1,1
59.34324,-121.59111,0.5,0.66,66,7.34,0,1,0
58.49793,-120.25774,0.45,0.47,66,2.59,0,0,0
59.84835,-113.565,0.47,0.4,66,1.67,0,1,0
58.99506,-120.78396,0.47,0.48,66,2.79,0,0,0
61.2054,-119.6721,2.2,1.5,100,613.6,0,1,1
60.16951,-117.83875,0.39,0.37,66,0.93,0,1,0
59.3835,-123.0411,3.4,1.7,62,65.2,0,0,1
58.64437,-118.30877,0.4,0.37,66,4.27,0,1,0
58.7564,-117.9772,2.2,1.4,14,16.7,0,0,1
56.87407,-119.35246,0.74,0.76,100,18.83,0,1,0
59.34691,-123.33198,0.42,0.38,66,4.07,1,1,0
55.92178,-104.43198,0.5,0.41,66,3.84,0,1,0
58.6767,-118.068,2.5,1.5,100,4129.2,0,1,1
58.2078,-118.7011,2.2,1.4,70,71.9,0,1,1
58.1435,-119.7207,2.5,1.5,100,206.9,0,1,1
58.7103,-121.1715,1.8,1.3,92,41.6,0,0,1
56.3908,-108.983,4.0,1.9,50,52.0,1,0,1
58.74967,-120.73697,0.38,0.36,100,9.78,0,1,0
58.3119,-120.1536,2.4,1.5,37,15.0,0,0,1
59.7614,-114.4806,3.5,1.8,82,94.7,0,0,1
60.29364,-118.01096,0.51,0.5,66,2.04,0,0,0
58.77184,-119.97532,0.44,0.46,66,12.8,0,0,0
59.19594,-120.47128,0.48,0.48,66,13.44,0,0,0
59.6902,-115.2938,1.4,1.2,39,36.4,1,1,1
58.64997,-118.37746,0.58,0.52,100,19.11,0,0,0
59.4169,-111.31475,0.44,0.62,66,1.09,0,0,0
58.70339,-120.63805,0.38,0.36,66,9.63,0,1,0
58.59753,-118.31751,0.58,0.52,66,8.35,0,0,0
58.6414,-121.2131,1.8,1.3,24,24.7,0,0,1
58.21698,-120.70194,0.46,0.47,66,5.65,0,0,0
58.39695,-119.7878,0.43,0.46,66,4.18,0,0,0
60.18007,-112.29293,0.42,0.38,66,11.37,0,0,0
60.57941,-120.47775,0.43,0.46,66,1.89,0,0,0
58.28312,-118.51801,0.59,0.53,66,7.75,0,0,0
59.3623,-112.9784,1.2,1.1,100,40.3,0,1,1
61.06784,-112.28243,0.47,0.4,66,2.06,0,1,0
58.73855,-118.01178,0.4,0.37,66,16.51,0,1,0
58.0918,-113.4336,2.9,1.6,94,233.6,1,1,1
58.6139,-117.9316,2.5,1.5,43,21.7,0,0,1
