latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
58.88282,-121.02523,305.92,0.48,0.48,938,0,1,271.58,4.51,0,0
58.12671,-118.56898,338.14,0.39,0.44,938,0,1,294.96,4.65,0,0
57.66007,-120.34688,297.86,0.54,0.51,1119,0,1,283.43,5.45,0,0
59.07991,-120.32771,329.59,0.48,0.48,1118,0,1,286.7,3.21,0,0
56.66702,-121.64606,303.31,0.48,0.48,938,0,1,281.43,0.78,0,0
59.75329,-112.50404,306.85,0.39,0.59,1117,0,1,285.74,1.07,0,0
58.71412,-120.46915,299.65,0.49,0.49,1118,0,1,281.06,1.37,0,0
57.23323,-120.71115,334.62,0.39,0.44,2110,0,1,292.28,4.21,1,0
57.09664,-100.26494,306.17,0.38,0.43,937,0,1,285.93,2.54,0,0
58.16743,-121.70667,302.99,0.5,0.49,938,0,1,281.79,1.36,0,0
59.00825,-120.62596,307.96,0.47,0.48,938,0,1,276.0,1.38,0,0
58.75159,-119.67875,300.0,0.43,0.46,938,0,1,286.59,0.89,0,0
58.64891,-120.48582,311.02,0.5,0.49,1118,0,1,280.97,2.05,0,0
58.09974,-119.68521,300.86,0.55,0.51,1118,0,1,285.1,2.54,0,0
57.09745,-100.26678,310.6,0.34,0.56,757,0,1,286.09,2.31,0,0
60.01828,-110.99122,328.8,0.46,0.63,2111,0,1,292.8,10.12,1,0
58.87486,-120.48083,309.24,0.49,0.48,1118,0,1,283.79,2.69,0,0
58.69511,-121.16802,296.79,0.49,0.48,938,0,1,282.99,0.94,0,0
58.74429,-120.46693,302.42,0.49,0.49,1118,0,1,281.98,1.71,0,0
58.83649,-118.1358,306.14,0.38,0.44,938,0,1,284.25,1.5,0,0
58.56652,-120.98103,300.96,0.48,0.48,938,0,1,283.83,2.16,0,0
60.41121,-118.06199,306.35,0.4,0.44,937,0,1,280.32,1.36,0,0
57.65443,-120.45633,300.16,0.54,0.51,1119,0,1,280.47,2.67,0,0
58.64679,-120.47826,298.12,0.5,0.49,1118,0,1,282.13,2.05,0,0
58.55114,-119.48311,295.73,0.54,0.51,1118,0,1,285.16,1.15,0,0
58.12822,-118.54478,303.89,0.6,0.53,1118,0,1,285.86,5.34,0,0
60.41474,-118.06871,301.36,0.4,0.44,937,0,1,280.84,0.79,0,0
58.71231,-120.48087,305.06,0.49,0.49,1118,0,1,281.31,1.8,0,0
59.09378,-120.36063,320.72,0.46,0.47,938,0,1,278.32,8.22,0,0
58.70655,-120.49679,316.99,0.49,0.49,1118,0,1,282.43,2.31,0,0
60.03916,-110.66985,335.69,0.41,0.37,1930,0,1,292.16,4.53,1,0
58.82441,-120.46503,317.08,0.49,0.49,1118,0,1,281.65,2.82,0,0
58.8088,-118.18143,322.02,0.58,0.52,1118,0,1,288.65,6.4,0,0
58.70402,-121.1659,296.37,0.49,0.48,938,0,1,283.95,1.16,0,0
55.44247,-123.58145,299.43,0.56,0.51,939,0,1,280.39,2.97,0,0
58.74389,-120.04154,314.55,0.44,0.46,938,0,1,285.05,3.75,0,0
57.09154,-100.26212,322.76,0.38,0.43,937,0,1,290.76,5.23,0,0
58.65758,-120.46946,297.44,0.5,0.49,1118,0,1,281.28,1.18,0,0
58.8205,-118.05357,320.81,0.58,0.52,1118,0,1,281.52,4.73,0,0
